date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name
02/01/2014,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2014,1,Thursday
03/01/2014,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2014,1,Friday
04/01/2014,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2014,1,Saturday
05/01/2014,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2014,1,Sunday
06/01/2014,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014,1,Monday
07/01/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
08/01/2014,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,1,Wednesday
09/01/2014,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2014,1,Thursday
10/01/2014,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2014,1,Friday
11/01/2014,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,1,Saturday
12/01/2014,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2014,1,Sunday
13/01/2014,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2014,1,Monday
14/01/2014,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,1,Tuesday
15/01/2014,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014,1,Wednesday
16/01/2014,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2014,1,Thursday
17/01/2014,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2014,1,Friday
18/01/2014,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014,1,Saturday
19/01/2014,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2014,1,Sunday
20/01/2014,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014,1,Monday
21/01/2014,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2014,1,Tuesday
22/01/2014,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2014,1,Wednesday
23/01/2014,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014,1,Thursday
24/01/2014,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2014,1,Friday
25/01/2014,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,1,Saturday
26/01/2014,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,1,Sunday
27/01/2014,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,1,Monday
28/01/2014,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,1,Tuesday
29/01/2014,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,1,Wednesday
30/01/2014,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,1,Thursday
31/01/2014,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,1,Friday
01/02/2014,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,Saturday
02/02/2014,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,Sunday
03/02/2014,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,Monday
04/02/2014,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,Tuesday
05/02/2014,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,Wednesday
06/02/2014,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,Thursday
07/02/2014,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,Friday
08/02/2014,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,Saturday
09/02/2014,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,Sunday
10/02/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,Monday
11/02/2014,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,Tuesday
12/02/2014,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,Wednesday
13/02/2014,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,Thursday
14/02/2014,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,Friday
15/02/2014,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,Saturday
16/02/2014,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,Sunday
17/02/2014,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,Monday
18/02/2014,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,Tuesday
19/02/2014,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,Wednesday
20/02/2014,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,Thursday
