M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,date,heure
0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0,2014,1,Thursday,02/01/2014,8:00
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,9:00
0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,10:00
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,11:00
0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,12:00
0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0,2014,1,Thursday,02/01/2014,13:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,14:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,16:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,17:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,18:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,19:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,20:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,21:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,22:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday,02/01/2014,23:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,0:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,1:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,2:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,3:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,4:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,5:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,6:00
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,7:00
0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,8:00
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,9:00
1.0,2.0,0.0,4.1,2.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,10:00
4.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,11:00
0.0,0.0,0.4,10.4,4.0,0.0,10.0,1.0,2014,1,Friday,03/01/2014,12:00
1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,13:00
0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2014,1,Friday,03/01/2014,14:00
1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,2014,1,Friday,03/01/2014,15:00
0.0,1.0,0.0,4.2,0.0,0.0,2.0,0.0,2014,1,Friday,03/01/2014,16:00
1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2014,1,Friday,03/01/2014,17:00
0.0,0.0,1.0,0.3,2.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,18:00
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2014,1,Friday,03/01/2014,19:00
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,20:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,21:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,22:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday,03/01/2014,23:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,0:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,1:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,2:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,3:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,4:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,5:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,6:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,7:00
1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,8:00
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,9:00
0.0,0.0,1.0,9.0,3.0,0.0,5.0,0.0,2014,1,Saturday,04/01/2014,10:00
1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,11:00
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,12:00
0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,13:00
0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,14:00
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,15:00
0.0,0.0,0.3,6.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,16:00
0.0,0.0,0.0,1.25,1.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,17:00
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,18:00
0.0,0.0,3.0,9.0,0.0,0.0,4.0,1.0,2014,1,Saturday,04/01/2014,19:00
0.0,0.0,0.0,0.6,3.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,20:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,21:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,22:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday,04/01/2014,23:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,0:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,1:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,2:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,3:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,4:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,5:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,6:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,7:00
1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,8:00
0.0,0.0,1.0,5.2,2.0,0.0,0.0,0.0,2014,1,Sunday,05/01/2014,9:00
