ID,month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
1,1,7000,12,39,male,Secondary special education,Cell phones,0,2,21000,Another,0,0,0
2,1,19000,6,20,male,Secondary special education,Household appliances,1,2,17000,Another,3,1,0
3,1,29000,12,23,female,Secondary special education,Household appliances,0,2,31000,Another,2,0,0
4,1,10000,12,30,male,Secondary special education,Cell phones,1,2,31000,Unmarried,3,1,0
5,1,14500,12,25,female,Higher education,Cell phones,0,2,26000,Married,0,1,0
6,1,32500,24,47,female,Secondary special education,Furniture,0,2,26000,Married,0,1,0
7,1,8000,3,23,male,Higher education,Computers,0,2,21000,Another,0,1,0
8,1,20000,10,25,female,Higher education,Household appliances,0,0,33000,Married,2,1,0
9,1,26000,6,21,female,Secondary special education,Cell phones,0,0,31000,Another,2,1,0
10,1,15000,24,25,female,Secondary special education,Household appliances,1,2,26000,Another,3,0,0
11,1,30000,12,32,female,Secondary special education,Household appliances,1,2,18000,Another,0,1,0
12,1,30500,12,38,male,Secondary special education,Cell phones,1,2,21000,Married,1,1,0
13,1,37000,18,62,female,Secondary special education,Household appliances,1,0,51000,Another,3,0,0
14,1,37000,18,29,male,Higher education,Cosmetics and beauty services,0,0,71000,Married,1,0,0
15,1,29500,12,26,male,Higher education,Household appliances,0,2,16000,Another,0,1,0
16,1,28500,12,22,female,Higher education,Household appliances,0,0,36000,Another,2,1,0
17,1,22000,10,64,male,Secondary special education,Household appliances,0,2,31000,Married,2,1,0
18,1,13000,6,20,male,Higher education,Household appliances,0,2,19000,Married,1,1,0
19,1,51000,6,56,male,Secondary special education,Household appliances,0,2,21000,Another,1,1,0
20,1,13500,12,27,female,Incomplete higher education,Cell phones,0,2,21000,Another,1,1,0
21,1,10000,11,42,male,Secondary special education,Household appliances,1,2,21000,Married,0,1,0
22,1,30000,12,49,male,Secondary education,Clothing,1,2,26000,Another,2,0,0
23,1,28000,18,36,male,Secondary special education,Cell phones,1,2,16000,Another,2,0,1
24,1,14000,10,25,female,Secondary special education,Cell phones,0,2,24000,Another,1,1,1
25,1,30000,12,24,female,Secondary special education,Computers,1,2,31000,Married,0,0,0
26,1,25000,6,30,female,Higher education,Cell phones,1,2,41000,Another,1,0,0
27,1,152000,36,48,female,Higher education,Windows & Doors,1,2,56000,Another,2,0,0
28,1,62000,12,62,male,Higher education,Clothing,0,0,41000,Another,3,1,0
29,1,18500,6,38,male,Higher education,Clothing,1,2,36000,Another,0,1,0
30,1,9500,10,38,female,Secondary special education,Cell phones,1,2,26000,Another,1,1,0
31,1,24500,12,28,male,Higher education,Cell phones,1,1,26000,Unmarried,0,1,0
32,1,26000,10,38,male,Higher education,Household appliances,1,0,51000,Another,3,0,0
33,1,15000,6,24,male,Incomplete higher education,Cell phones,1,2,36000,Another,2,0,0
34,1,8500,6,75,male,Secondary education,Household appliances,1,2,19000,Married,1,1,0
35,1,12000,10,58,male,Secondary special education,Household appliances,0,2,21000,Married,2,0,0
36,1,17500,12,23,male,Incomplete higher education,Cell phones,0,2,16000,Another,0,1,0
37,1,17000,6,42,male,Secondary special education,Household appliances,0,2,22000,Another,1,1,0
38,1,18000,6,56,female,Secondary education,Cell phones,0,2,36000,Unmarried,1,0,0
39,1,15000,6,21,female,Secondary special education,Cell phones,0,2,16000,Another,0,1,0
40,1,10500,6,39,male,Higher education,Household appliances,1,2,21000,Married,1,1,0
41,1,23500,18,31,male,Secondary special education,Household appliances,1,2,19000,Another,1,0,0
42,1,18000,6,27,male,Higher education,Cell phones,0,2,46000,Another,0,0,0
43,1,37500,3,40,female,Higher education,Household appliances,1,0,51000,Another,1,1,0
44,1,23500,11,54,male,Higher education,Fitness,0,2,31000,Another,1,1,0
45,1,40500,9,45,male,Secondary special education,Cosmetics and beauty services,1,0,31000,Married,2,1,0
46,1,28500,12,23,male,Secondary special education,Household appliances,1,2,18000,Married,1,1,0
47,1,25500,12,28,male,Higher education,Computers,0,2,26000,Another,0,0,0
48,1,11000,3,24,male,Secondary special education,Computers,0,2,26000,Another,2,1,0
49,1,16000,8,27,female,Secondary special education,Household appliances,0,2,26000,Unmarried,1,1,0
50,1,74500,24,30,female,Higher education,Furniture,1,0,51000,Another,0,1,0
51,1,24000,12,37,male,Higher education,Household appliances,0,1,41000,Another,1,0,0
52,1,31000,12,20,male,Incomplete higher education,Household appliances,0,2,26000,Another,0,1,0
53,1,66500,12,48,female,Secondary special education,Cell phones,0,1,111000,Another,0,0,0
54,1,13000,12,28,male,Higher education,Household appliances,1,2,19000,Unmarried,1,1,0
55,1,26500,24,58,female,Higher education,Household appliances,1,0,26000,Another,1,0,0
56,1,26500,3,40,female,Secondary special education,Household appliances,1,2,51000,Another,0,1,0
57,1,35000,12,28,male,Higher education,Cell phones,1,1,34000,Another,1,1,0
58,1,8500,6,28,male,Secondary special education,Cell phones,0,2,19000,Unmarried,3,0,1
59,1,21000,18,28,male,Higher education,Furniture,1,2,21000,Another,0,1,0
60,1,6500,3,66,male,Secondary special education,Household appliances,1,2,19000,Another,2,1,0
61,1,27000,6,28,male,Secondary special education,Cell phones,0,0,31000,Married,0,1,0
62,1,8000,12,25,female,Secondary education,Household appliances,0,2,11000,Married,3,1,1
63,1,43000,18,27,male,Secondary special education,Household appliances,1,2,19000,Another,0,0,0
64,1,7000,6,37,male,Secondary special education,Household appliances,1,2,16000,Another,0,0,0
65,1,15500,10,25,female,Secondary education,Household appliances,0,2,19000,Another,1,1,1
66,1,15000,6,33,female,Secondary special education,Furniture,1,2,14000,Another,2,0,0
67,1,84500,18,40,male,Secondary special education,Tourism,1,2,61000,Married,1,0,0
68,1,22000,9,19,male,Incomplete higher education,Cell phones,0,0,21000,Another,1,1,0
69,1,24000,6,49,male,Higher education,Clothing,0,2,31000,Married,3,1,0
70,1,9000,6,49,female,Secondary education,Cell phones,0,2,31000,Another,0,1,0
71,1,35000,12,42,male,Higher education,Furniture,1,2,11000,Married,0,1,0
72,1,8000,6,24,female,Secondary special education,Cell phones,0,2,16000,Married,1,1,0
73,1,15500,12,21,female,Secondary special education,Cell phones,0,2,51000,Another,0,0,0
74,1,23500,10,69,male,Higher education,Medical services,0,1,16000,Another,0,1,0
75,1,36000,18,32,male,Higher education,Clothing,0,2,36000,Another,0,1,1
76,1,34500,12,43,female,Secondary special education,Cell phones,1,2,81000,Unmarried,1,1,0
77,1,5000,10,39,female,Secondary special education,Household appliances,1,2,31000,Married,1,0,0
78,1,9500,4,27,female,Secondary special education,Cell phones,0,2,31000,Married,1,0,0
79,1,29000,12,29,female,Higher education,Household appliances,0,2,46000,Another,1,1,0
80,1,17000,12,39,male,Secondary special education,Cell phones,0,2,21000,Married,2,1,0
81,1,50000,18,23,female,Secondary special education,Household appliances,0,2,21000,Another,0,1,1
82,1,11500,4,37,female,Secondary education,Household appliances,1,2,20000,Another,2,1,0
83,1,34500,15,39,male,Higher education,Household appliances,1,2,46000,Married,0,0,0
84,1,12000,10,26,male,Higher education,Household appliances,0,2,26000,Married,1,0,0
85,1,10500,10,49,female,Secondary special education,Household appliances,0,0,16000,Another,1,1,0
86,1,25000,6,42,female,Secondary special education,Audio & Video,0,0,31000,Another,1,0,0
87,1,31000,12,34,female,Higher education,Computers,0,0,71000,Another,2,1,0
88,1,20500,12,26,female,Secondary special education,Household appliances,0,2,26000,Another,2,1,0
89,1,6000,3,31,male,Secondary special education,Computers,0,2,26000,Another,1,0,0
90,1,9000,6,31,male,Secondary special education,Cell phones,1,2,36000,Married,0,1,0
91,1,43000,6,22,male,Incomplete higher education,Clothing,0,0,31000,Another,3,1,0
92,1,8000,12,31,male,Secondary special education,Cell phones,0,2,20000,Another,1,1,0
93,1,14000,6,24,female,Incomplete higher education,Computers,0,0,36000,Another,3,1,0
94,1,22500,18,42,male,Secondary special education,Furniture,0,2,13000,Another,1,1,0
95,1,17500,6,35,female,Higher education,Cell phones,0,2,39000,Another,2,1,0
96,1,17500,12,20,male,Secondary special education,Cell phones,0,2,16000,Another,0,1,0
97,1,29500,12,35,female,Secondary education,Cell phones,0,2,26000,Another,0,1,0
98,1,50000,18,20,male,Secondary special education,Jewelry,0,2,21000,Another,0,1,1
99,1,31500,18,22,male,Secondary education,Household appliances,1,2,26000,Married,1,1,0
100,1,37000,15,32,male,Higher education,Furniture,1,2,36000,Another,0,1,1
101,1,17000,12,25,male,Secondary special education,Fitness,0,2,26000,Another,0,1,0
102,1,11000,6,47,female,Secondary special education,Jewelry,1,2,31000,Another,1,1,1
103,1,19500,24,23,male,Higher education,Household appliances,0,2,28000,Another,2,1,0
104,1,41000,15,40,male,Higher education,Tourism,1,2,26000,Married,0,1,0
105,1,11000,6,19,male,Secondary special education,Household appliances,0,2,21000,Another,0,1,0
106,1,31000,12,28,male,Secondary special education,Household appliances,0,2,21000,Another,1,1,1
107,1,28000,12,23,male,Higher education,Cell phones,0,0,30000,Another,1,1,0
108,1,20500,12,37,female,Secondary special education,Household appliances,1,0,21000,Another,0,1,0
109,1,79000,15,23,male,Secondary special education,Tourism,0,2,46000,Married,2,1,0
110,1,25000,6,31,female,Secondary special education,Computers,1,2,41000,Married,0,0,0
111,1,116000,18,33,female,Higher education,Clothing,1,2,36000,Married,3,1,0
112,1,18500,6,32,female,Secondary special education,Household appliances,1,2,31000,Another,1,1,0
113,1,41000,18,46,male,Secondary special education,Cosmetics and beauty services,0,0,41000,Another,3,1,0
114,1,10000,24,23,male,Incomplete higher education,Computers,0,2,21000,Married,1,0,1
